,Name,Users
8193,aurangabad,1046306
8194,ahmednagar,905962
8195,palghar,848560
8196,raigad,830643
8197,421302,270275
8198,410501,212525
8199,410206,208988
8200,421201,201500
8201,411014,186363
8202,411033,186165
8203,411046,168527
8204,411057,168309
8205,431003,166778
8206,411028,157439
8207,pune,5144688
8208,thane,3135101
8209,mumbai suburban,3060916
8210,nashik,1602650
8211,nagpur,1377642
8212,aurangabad,1142730
8213,mumbai,1141566
8214,ahmednagar,1014520
8215,palghar,947121
8216,solapur,918756
8217,421302,298762
8218,410206,228984
8219,410501,227567
8220,421201,219871
8221,411033,196984
8222,411014,195723
8223,411046,180438
8224,431003,179082
8225,411057,174526
8226,421301,171283
8227,pune,5546002
8228,thane,3401853
8229,mumbai suburban,3304696
8230,nashik,1752191
8231,nagpur,1502777
8232,aurangabad,1244879
8233,mumbai,1234355
8234,ahmednagar,1123648
8235,palghar,1034468
8236,solapur,1012518
8237,421302,328833
8238,410206,249631
8239,410501,246816
8240,421201,237605
8241,411033,210139
8242,411014,207577
8243,411046,194368
8244,431003,192623
8245,421301,186022
8246,411057,183054
8247,pune,6033615
8248,thane,3727358
8249,mumbai suburban,3609970
8250,nashik,1907318
8251,nagpur,1637270
8252,aurangabad,1355656
8253,mumbai,1347356
8254,ahmednagar,1237321
8255,palghar,1136061
8256,solapur,1113260
8257,421302,365506
8258,410206,275019
8259,410501,272167
8260,421201,259489
8261,411033,226460
8262,411014,223378
8263,411046,211381
8264,431003,207632
8265,421301,203721
8266,400612,198677
8267,pune,6481971
8268,thane,4014464
8269,mumbai suburban,3886500
8270,nashik,2049293
8271,nagpur,1761562
8272,aurangabad,1456891
8273,mumbai,1450548
8274,ahmednagar,1333477
8275,palghar,1225423
8276,solapur,1199130
8277,421302,396179
8278,410206,296340
8279,410501,294563
8280,421201,278568
8281,411033,242613
8282,411014,239079
8283,411046,227047
8284,431003,222366
8285,421301,219310
8286,400612,215326
8287,pune,6915820
8288,thane,4290066
8289,mumbai suburban,4151227
8290,nashik,2191882
8291,nagpur,1883447
8292,aurangabad,1557693
8293,mumbai,1549784
8294,ahmednagar,1429562
8295,palghar,1312388
8296,solapur,1283601
8297,421302,424376
8298,410206,316643
8299,410501,314922
8300,421201,297460
8301,411033,258524
8302,411014,254412
8303,411046,241933
8304,431003,236990
8305,421301,234225
8306,400612,230486
8307,pune,7398336
8308,thane,4597394
8309,mumbai suburban,4444495
8310,nashik,2352259
8311,nagpur,2020264
8312,aurangabad,1671665
8313,mumbai,1659663
8314,ahmednagar,1539300
8315,palghar,1410321
8316,solapur,1380100
8317,421302,456284
8318,410206,339230
8319,410501,338109
8320,421201,318461
8321,411033,276031
8322,411014,271372
8323,411046,258494
8324,431003,253190
8325,421301,250903
8326,400612,247336
8327,pune,7880431
8328,thane,4906492
8329,mumbai suburban,4740546
8330,nashik,2510393
8331,nagpur,2157149
8332,aurangabad,1786190
8333,mumbai,1770325
8334,ahmednagar,1646991
8335,palghar,1508500
8336,solapur,1475291
8337,421302,488443
